Issue ID,Issue Type,Summary,Description,Parent,Epic Name,Priority,Labels,Components,Original Estimate,Start date,Due date
1,Epic,Foundations & DevOps,"Project scaffolding, local dev environment, CI basics, and baseline tooling.",,SWISH-FOUND,High,"mvp,devops",devops,,18/Feb/26 09:00 AM,20/Feb/26 11:00 PM
2,Story,Monorepo scaffold (NestJS + Next.js 14),"Set up repo structure, base NestJS app, base Next.js app, shared config.",1,,High,"mvp,devops,setup",devops,,18/Feb/26 09:00 AM,18/Feb/26 11:00 PM
3,Sous-tâche,Create NestJS app skeleton,Subtask for story: Monorepo scaffold (NestJS + Next.js 14),2,,High,"mvp,devops,setup,subtask",devops,4h,18/Feb/26 09:00 AM,18/Feb/26 11:00 PM
4,Sous-tâche,Create Next.js app skeleton,Subtask for story: Monorepo scaffold (NestJS + Next.js 14),2,,High,"mvp,devops,setup,subtask",devops,4h,18/Feb/26 09:00 AM,18/Feb/26 11:00 PM
5,Sous-tâche,Shared scripts + env loading,Subtask for story: Monorepo scaffold (NestJS + Next.js 14),2,,High,"mvp,devops,setup,subtask",devops,4h,18/Feb/26 9:00 AM,18/Feb/26 11:00 PM
6,Story,Docker Compose for local dev (Postgres 15 + apps),"Add docker-compose.yml with Postgres 15, networks, volumes and local run targets.",1,,High,"mvp,devops,setup,docker",devops,,18/Feb/26 09:00 AM,19/Feb/26 11:00 PM
7,Sous-tâche,Compose: Postgres service + volume,Subtask for story: Docker Compose for local dev (Postgres 15 + apps),6,,High,"mvp,devops,setup,docker,subtask",devops,4h,18/Feb/26 09:00 AM,18/Feb/26 11:00 PM
8,Sous-tâche,Compose: api/web services + env wiring,Subtask for story: Docker Compose for local dev (Postgres 15 + apps),6,,High,"mvp,devops,setup,docker,subtask",devops,4h,19/Feb/26 09:00 AM,19/Feb/26 11:00 PM
9,Sous-tâche,README: local dev commands,Subtask for story: Docker Compose for local dev (Postgres 15 + apps),6,,High,"mvp,devops,setup,docker,subtask",devops,4h,19/Feb/26 09:00 AM,19/Feb/26 11:00 PM
10,Story,Tooling baseline (lint/format/test),Configure ESLint/Prettier + test runner(s) for backend/frontend.,1,,Medium,"mvp,devops,tooling",devops,,02/Feb/26 10:00 AM,20/Feb/26 11:00 PM
11,Sous-tâche,ESLint + Prettier config,Subtask for story: Tooling baseline (lint/format/test),10,,Medium,"mvp,devops,tooling,subtask",devops,4h,19/Feb/26 9:00 AM,19/Feb/26 11:00 PM
12,Sous-tâche,Backend tests baseline,Subtask for story: Tooling baseline (lint/format/test),10,,Medium,"mvp,devops,tooling,subtask",devops,4h,20/Feb/26 9:00 AM,20/Feb/26 11:00 PM
13,Sous-tâche,Frontend tests baseline,Subtask for story: Tooling baseline (lint/format/test),10,,Medium,"mvp,devops,tooling,subtask",devops,4h,20/Feb/26 9:00 AM,20/Feb/26 11:00 PM
14,Story,CI pipeline (lint/test),Add GitHub Actions pipeline running lint + unit tests on PRs.,1,,Medium,"mvp,devops,ci",devops,,20/Feb/26 09:00 AM,20/Feb/26 11:00 PM
15,Sous-tâche,GitHub Actions workflow,Subtask for story: CI pipeline (lint/test),14,,Medium,"mvp,devops,ci,subtask",devops,4h,20/Feb/26 09:00 AM,20/Feb/26 11:00 PM
16,Sous-tâche,Cache node_modules (optional),Subtask for story: CI pipeline (lint/test),14,,Medium,"mvp,devops,ci,subtask",devops,4h,20/Feb/26 09:00 AM,20/Feb/26 11:00 PM
17,Sous-tâche,CI badges + docs,Subtask for story: CI pipeline (lint/test),14,,Medium,"mvp,devops,ci,subtask",devops,4h,20/Feb/26 09:00 AM,20/Feb/26 11:00 PM
18,Epic,Database Schema + Postgres RLS,"Create schema, constraints, indexes and enforce tenant isolation with Row Level Security + per-request tenant context.",,SWISH-DBRLS,High,"mvp,security,rls",db,,18/Feb/26 09:00 AM,23/Feb/26 11:00 PM
19,Story,"Migrations: global tables (users, tenants, memberships)",TypeORM entities + migration for global tables and constraints.,18,,High,"mvp,security,rls,db,migration",db,,18/Feb/26 9:00 AM,19/Feb/26 11:00 PM
20,Sous-tâche,Entities: users/tenants/memberships,"Subtask for story: Migrations: global tables (users, tenants, memberships)",19,,High,"mvp,security,rls,db,migration,subtask",db,4h,18/Feb/26 09:00 AM,18/Feb/26 11:00 PM
21,Sous-tâche,Migration: constraints + enums,"Subtask for story: Migrations: global tables (users, tenants, memberships)",19,,High,"mvp,security,rls,db,migration,subtask",db,4h,19/Feb/26 09:00 AM,19/Feb/26 11:00 PM
22,Sous-tâche,Smoke test migration rollback/apply,"Subtask for story: Migrations: global tables (users, tenants, memberships)",19,,High,"mvp,security,rls,db,migration,subtask",db,4h,19/Feb/26 09:00 AM,19/Feb/26 11:00 PM
23,Story,Migrations: tenant tables + required indexes,"Add migrations for content_definitions, content_entries, pages, tenant_events + indexes.",18,,High,"mvp,security,rls,db,migration",db,,19/Feb/26 09:00 AM,20/Feb/26 11:00 PM
24,Sous-tâche,Migration: content_definitions + pages,Subtask for story: Migrations: tenant tables + required indexes,23,,High,"mvp,security,rls,db,migration,subtask",db,4h,19/Feb/26 09:00 AM,19/Feb/26 11:00 PM
25,Sous-tâche,Migration: content_entries + tenant_events,Subtask for story: Migrations: tenant tables + required indexes,23,,High,"mvp,security,rls,db,migration,subtask",db,4h,20/Feb/26 09:00 AM,20/Feb/26 11:00 PM
26,Sous-tâche,Indexes per spec (content_entries composite),Subtask for story: Migrations: tenant tables + required indexes,23,,High,"mvp,security,rls,db,migration,subtask",db,4h,20/Feb/26 09:00 AM,20/Feb/26 11:00 PM
27,Story,Enable RLS + policies on tenant-scoped tables,"Enable RLS and create policies using current_setting('app.tenant_id', true)::uuid.",18,,High,"mvp,security,rls,rls,security",db,,20/Feb/26 09:00 AM,23/Feb/26 11:00 PM
28,Sous-tâche,Enable RLS on tenant tables,Subtask for story: Enable RLS + policies on tenant-scoped tables,27,,High,"mvp,security,rls,rls,security,subtask",db,4h,20/Feb/26 09:00 AM,20/Feb/26 11:00 PM
29,Sous-tâche,Policies: SELECT/INSERT/UPDATE/DELETE,Subtask for story: Enable RLS + policies on tenant-scoped tables,27,,High,"mvp,security,rls,rls,security,subtask",db,4h,23/Feb/26 09:00 AM,23/Feb/26 11:00 PM
30,Sous-tâche,DB roles: ensure app role has no BYPASSRLS,Subtask for story: Enable RLS + policies on tenant-scoped tables,27,,High,"mvp,security,rls,rls,security,subtask",db,4h,23/Feb/26 09:00 AM,23/Feb/26 11:00 PM
31,Story,Tenant context wrapper (SET LOCAL app.tenant_id),Implement transactional wrapper: SET LOCAL app.tenant_id then run queries.,18,,High,"mvp,security,rls,rls,backend","backend,db",,23/Feb/26 09:00 AM,23/Feb/26 11:00 PM
32,Sous-tâche,QueryRunner wrapper utility,Subtask for story: Tenant context wrapper (SET LOCAL app.tenant_id),31,,High,"mvp,security,rls,rls,backend,subtask","backend,db",4h,23/Feb/26 09:00 AM,23/Feb/26 11:00 PM
33,Sous-tâche,Service layer integration points,Subtask for story: Tenant context wrapper (SET LOCAL app.tenant_id),31,,High,"mvp,security,rls,rls,backend,subtask","backend,db",4h,23/Feb/26 09:00 AM,23/Feb/26 11:00 PM
34,Sous-tâche,Docs: required usage pattern,Subtask for story: Tenant context wrapper (SET LOCAL app.tenant_id),31,,High,"mvp,security,rls,rls,backend,subtask","backend,db",4h,23/Feb/26 09:00 AM,23/Feb/26 11:00 PM
35,Story,RLS regression tests (cross-tenant access),Integration tests creating 2 tenants verifying isolation at DB and API layers.,18,,High,"mvp,security,rls,test,rls","backend,db",,23/Feb/26 09:00 AM,23/Feb/26 11:00 PM
36,Sous-tâche,Test: cross-tenant SELECT denied,Subtask for story: RLS regression tests (cross-tenant access),35,,High,"mvp,security,rls,test,rls,subtask","backend,db",4h,23/Feb/26 09:00 AM,23/Feb/26 11:00 PM
37,Sous-tâche,Test: cross-tenant UPDATE/DELETE denied,Subtask for story: RLS regression tests (cross-tenant access),35,,High,"mvp,security,rls,test,rls,subtask","backend,db",4h,23/Feb/26 09:00 AM,23/Feb/26 11:00 PM
38,Sous-tâche,Add to CI pipeline,Subtask for story: RLS regression tests (cross-tenant access),35,,High,"mvp,security,rls,test,rls,subtask","backend,db",4h,23/Feb/26 09:00 AM,23/Feb/26 11:00 PM
39,Epic,Authentication + Account Dashboard API,User auth (JWT) and universal account endpoints (no tenant context).,,SWISH-AUTH,High,"mvp,auth",backend,,19/Feb/26 09:00 AM,24/Feb/26 11:00 PM
40,Story,Auth module: password hashing + JWT issuance,"Implement login flow (email/password), password hashing, and user JWT payload.",39,,High,"mvp,auth,auth",backend,,19/Feb/26 09:00 AM,20/Feb/26 11:00 PM
41,Sous-tâche,Password hashing + user creation helpers,Subtask for story: Auth module: password hashing + JWT issuance,40,,High,"mvp,auth,auth,subtask",backend,4h,19/Feb/26 09:00 AM,19/Feb/26 11:00 PM
42,Sous-tâche,Login endpoint + JWT signing,Subtask for story: Auth module: password hashing + JWT issuance,40,,High,"mvp,auth,auth,subtask",backend,4h,20/Feb/26 09:00 AM,20/Feb/26 11:00 PM
43,Sous-tâche,Unit tests (auth service),Subtask for story: Auth module: password hashing + JWT issuance,40,,High,"mvp,auth,auth,subtask",backend,4h,20/Feb/26 09:00 AM,20/Feb/26 11:00 PM
44,Story,Account endpoints: /api/me (GET/PATCH),Add current user profile endpoints and update flow with validation.,39,,High,"mvp,auth,account",backend,,23/Feb/26 09:00 AM,23/Feb/26 11:00 PM
45,Sous-tâche,GET /api/me,Subtask for story: Account endpoints: /api/me (GET/PATCH),44,,High,"mvp,auth,account,subtask",backend,4h,23/Feb/26 09:00 AM,23/Feb/26 11:00 PM
46,Sous-tâche,PATCH /api/me + validation,Subtask for story: Account endpoints: /api/me (GET/PATCH),44,,High,"mvp,auth,account,subtask",backend,4h,23/Feb/26 09:00 AM,23/Feb/26 11:00 PM
47,Sous-tâche,Tests (controller),Subtask for story: Account endpoints: /api/me (GET/PATCH),44,,High,"mvp,auth,account,subtask",backend,4h,23/Feb/26 09:00 AM,23/Feb/26 11:00 PM
48,Story,Password change endpoint (/api/me/password),Implement change password with current password confirmation.,39,,Medium,"mvp,auth,account",backend,,24/Feb/26 09:00 AM,24/Feb/26 11:00 PM
49,Sous-tâche,PATCH /api/me/password implementation,Subtask for story: Password change endpoint (/api/me/password),48,,Medium,"mvp,auth,account,subtask",backend,4h,24/Feb/26 09:00 AM,24/Feb/26 11:00 PM
50,Sous-tâche,Validation + error mapping (400/401),Subtask for story: Password change endpoint (/api/me/password),48,,Medium,"mvp,auth,account,subtask",backend,4h,24/Feb/26 09:00 AM,24/Feb/26 11:00 PM
51,Sous-tâche,Tests,Subtask for story: Password change endpoint (/api/me/password),48,,Medium,"mvp,auth,account,subtask",backend,4h,24/Feb/26 09:00 AM,24/Feb/26 11:00 PM
52,Story,List user tenants (/api/me/tenants),Return tenants where user has membership (include role).,39,,Medium,"mvp,auth,account",backend,,24/Feb/26 09:00 AM,24/Feb/26 11:00 PM
53,Sous-tâche,Query memberships + join tenants,Subtask for story: List user tenants (/api/me/tenants),52,,Medium,"mvp,auth,account,subtask",backend,4h,24/Feb/26 09:00 AM,24/Feb/26 11:00 PM
54,Sous-tâche,DTO mapping (include role),Subtask for story: List user tenants (/api/me/tenants),52,,Medium,"mvp,auth,account,subtask",backend,4h,24/Feb/26 09:00 AM,24/Feb/26 11:00 PM
55,Sous-tâche,Tests,Subtask for story: List user tenants (/api/me/tenants),52,,Medium,"mvp,auth,account,subtask",backend,4h,24/Feb/26 09:00 AM,24/Feb/26 11:00 PM
56,Epic,Tenant Resolution + Guards + RBAC,Resolve tenant via subdomain; enforce Host/token/route match; membership checks; owner/editor RBAC.,,SWISH-TENANT,High,"mvp,security",backend,,20/Feb/26 09:00 AM,26/Feb/26 11:00 PM
57,Story,Subdomain parsing + reserved list enforcement,"Parse Host header, extract subdomain, validate pattern and reserved list.",56,,High,"mvp,security,routing",backend,,20/Feb/26 09:00 AM,20/Feb/26 11:00 PM
58,Sous-tâche,Host header parser + subdomain extraction,Subtask for story: Subdomain parsing + reserved list enforcement,57,,High,"mvp,security,routing,subtask",backend,4h,20/Feb/26 09:00 AM,20/Feb/26 11:00 PM
59,Sous-tâche,Validation: DNS-safe + reserved list,Subtask for story: Subdomain parsing + reserved list enforcement,57,,High,"mvp,security,routing,subtask",backend,4h,20/Feb/26 09:00 AM,20/Feb/26 11:00 PM
60,Sous-tâche,Tests,Subtask for story: Subdomain parsing + reserved list enforcement,57,,High,"mvp,security,routing,subtask",backend,4h,20/Feb/26 09:00 AM,20/Feb/26 11:00 PM
61,Story,Tenant resolver service (+ caching),Resolve tenant by subdomain and cache briefly in-memory.,56,,Medium,"mvp,security,routing",backend,,23/Feb/26 09:00 AM,23/Feb/26 11:00 PM
62,Sous-tâche,Tenant lookup by subdomain,Subtask for story: Tenant resolver service (+ caching),61,,Medium,"mvp,security,routing,subtask",backend,4h,23/Feb/26 09:00 AM,23/Feb/26 11:00 PM
63,Sous-tâche,In-memory cache + TTL,Subtask for story: Tenant resolver service (+ caching),61,,Medium,"mvp,security,routing,subtask",backend,4h,23/Feb/26 09:00 AM,23/Feb/26 11:00 PM
64,Sous-tâche,Docs: cache invalidation notes,Subtask for story: Tenant resolver service (+ caching),61,,Medium,"mvp,security,routing,subtask",backend,4h,23/Feb/26 09:00 AM,23/Feb/26 11:00 PM
65,Story,TenantGuard: Host vs token vs route match,Mandatory guard for tenant-scoped routes enforcing match rules + membership check.,56,,High,"mvp,security,security",backend,,24/Feb/26 09:00 AM,24/Feb/26 11:00 PM
66,Sous-tâche,Guard: compare host vs token vs route tenant,Subtask for story: TenantGuard: Host vs token vs route match,65,,High,"mvp,security,security,subtask",backend,4h,24/Feb/26 09:00 AM,24/Feb/26 11:00 PM
67,Sous-tâche,Membership verification on guarded routes,Subtask for story: TenantGuard: Host vs token vs route match,65,,High,"mvp,security,security,subtask",backend,4h,24/Feb/26 09:00 AM,24/Feb/26 11:00 PM
68,Sous-tâche,Tests,Subtask for story: TenantGuard: Host vs token vs route match,65,,High,"mvp,security,security,subtask",backend,4h,24/Feb/26 09:00 AM,24/Feb/26 11:00 PM
69,Story,Tenant JWT exchange endpoint (/api/auth/tenant-token),Exchange User JWT + tenantId for Tenant JWT with role.,56,,High,"mvp,security,auth",backend,,25/Feb/26 09:00 AM,25/Feb/26 11:00 PM
70,Sous-tâche,POST /api/auth/tenant-token,Subtask for story: Tenant JWT exchange endpoint (/api/auth/tenant-token),69,,High,"mvp,security,auth,subtask",backend,4h,25/Feb/26 09:00 AM,25/Feb/26 11:00 PM
71,Sous-tâche,Deny non-members / wrong tenant,Subtask for story: Tenant JWT exchange endpoint (/api/auth/tenant-token),69,,High,"mvp,security,auth,subtask",backend,4h,25/Feb/26 09:00 AM,25/Feb/26 11:00 PM
72,Sous-tâche,Tests,Subtask for story: Tenant JWT exchange endpoint (/api/auth/tenant-token),69,,High,"mvp,security,auth,subtask",backend,4h,25/Feb/26 09:00 AM,25/Feb/26 11:00 PM
73,Story,RBAC guard/decorators (OWNER-only ops),Enforce owner/editor permissions consistently.,56,,High,"mvp,security,rbac",backend,,26/Feb/26 09:00 AM,26/Feb/26 11:00 PM
74,Sous-tâche,RBAC decorators/guard,Subtask for story: RBAC guard/decorators (OWNER-only ops),73,,High,"mvp,security,rbac,subtask",backend,4h,26/Feb/26 09:00 AM,26/Feb/26 11:00 PM
75,Sous-tâche,Apply to OWNER-only endpoints,Subtask for story: RBAC guard/decorators (OWNER-only ops),73,,High,"mvp,security,rbac,subtask",backend,4h,26/Feb/26 09:00 AM,26/Feb/26 11:00 PM
76,Sous-tâche,Tests,Subtask for story: RBAC guard/decorators (OWNER-only ops),73,,High,"mvp,security,rbac,subtask",backend,4h,26/Feb/26 09:00 AM,26/Feb/26 11:00 PM
77,Epic,Tenant Onboarding + Seeder,"Create tenant and seed a working demo site (navigation, posts schema, hello-world, home page components).",,SWISH-SEED,High,mvp,"backend,db",,25/Feb/26 09:00 AM,27/Feb/26 11:00 PM
78,Story,Create tenant endpoint (POST /api/tenants),Create tenant record + owner membership for current user with validation & conflicts.,77,,High,"mvp,tenant","backend,db",,25/Feb/26 09:00 AM,25/Feb/26 11:00 PM
79,Sous-tâche,Validate subdomain + handle duplicates (409),Subtask for story: Create tenant endpoint (POST /api/tenants),78,,High,"mvp,tenant,subtask","backend,db",4h,25/Feb/26 09:00 AM,25/Feb/26 11:00 PM
80,Sous-tâche,Transaction: create tenant + owner membership,Subtask for story: Create tenant endpoint (POST /api/tenants),78,,High,"mvp,tenant,subtask","backend,db",4h,25/Feb/26 09:00 AM,25/Feb/26 11:00 PM
81,Sous-tâche,Tests,Subtask for story: Create tenant endpoint (POST /api/tenants),78,,High,"mvp,tenant,subtask","backend,db",4h,25/Feb/26 09:00 AM,25/Feb/26 11:00 PM
82,Story,Seed navigation + tenant settings defaults,Seed tenants.settings.navigation with Home/About and basic branding placeholders.,77,,Medium,"mvp,seed",backend,,26/Feb/26 09:00 AM,26/Feb/26 11:00 PM
83,Sous-tâche,Default tenant settings payload,Subtask for story: Seed navigation + tenant settings defaults,82,,Medium,"mvp,seed,subtask",backend,4h,26/Feb/26 09:00 AM,26/Feb/26 11:00 PM
84,Sous-tâche,Persist settings on tenant create,Subtask for story: Seed navigation + tenant settings defaults,82,,Medium,"mvp,seed,subtask",backend,4h,26/Feb/26 09:00 AM,26/Feb/26 11:00 PM
85,Sous-tâche,Verify via /api/public/tenant,Subtask for story: Seed navigation + tenant settings defaults,82,,Medium,"mvp,seed,subtask",backend,4h,26/Feb/26 09:00 AM,26/Feb/26 11:00 PM
86,Story,Seed default content definition: posts,Create content_definitions row with slug=posts and minimal schema (title/body).,77,,High,"mvp,seed,content","backend,db",,26/Feb/26 09:00 AM,26/Feb/26 11:00 PM
87,Sous-tâche,Define posts JSON schema (v1 minimal),Subtask for story: Seed default content definition: posts,86,,High,"mvp,seed,content,subtask","backend,db",4h,26/Feb/26 09:00 AM,26/Feb/26 11:00 PM
88,Sous-tâche,Insert content_definitions record,Subtask for story: Seed default content definition: posts,86,,High,"mvp,seed,content,subtask","backend,db",4h,26/Feb/26 09:00 AM,26/Feb/26 11:00 PM
89,Sous-tâche,Tests,Subtask for story: Seed default content definition: posts,86,,High,"mvp,seed,content,subtask","backend,db",4h,26/Feb/26 09:00 AM,26/Feb/26 11:00 PM
90,Story,Seed default entry: hello-world (published),Insert initial content entry with slug hello-world and is_published=true + published_at.,77,,High,"mvp,seed,content","backend,db",,27/Feb/26 09:00 AM,27/Feb/26 11:00 PM
91,Sous-tâche,Insert content entry data JSON,Subtask for story: Seed default entry: hello-world (published),90,,High,"mvp,seed,content,subtask","backend,db",4h,27/Feb/26 09:00 AM,27/Feb/26 11:00 PM
92,Sous-tâche,Set publish fields (is_published/published_at),Subtask for story: Seed default entry: hello-world (published),90,,High,"mvp,seed,content,subtask","backend,db",4h,27/Feb/26 09:00 AM,27/Feb/26 11:00 PM
93,Sous-tâche,Verify visible in public list,Subtask for story: Seed default entry: hello-world (published),90,,High,"mvp,seed,content,subtask","backend,db",4h,27/Feb/26 09:00 AM,27/Feb/26 11:00 PM
94,Story,Seed home page components (Hero + PostGrid),Create home page JSON components per spec.,77,,High,"mvp,seed,pages","backend,db",,27/Feb/26 09:00 AM,27/Feb/26 11:00 PM
95,Sous-tâche,Insert pages row (slug=home),Subtask for story: Seed home page components (Hero + PostGrid),94,,High,"mvp,seed,pages,subtask","backend,db",4h,27/Feb/26 09:00 AM,27/Feb/26 11:00 PM
96,Sous-tâche,Store components JSON payload,Subtask for story: Seed home page components (Hero + PostGrid),94,,High,"mvp,seed,pages,subtask","backend,db",4h,27/Feb/26 09:00 AM,27/Feb/26 11:00 PM
97,Sous-tâche,Verify via /api/public/pages/home,Subtask for story: Seed home page components (Hero + PostGrid),94,,High,"mvp,seed,pages,subtask","backend,db",4h,27/Feb/26 09:00 AM,27/Feb/26 11:00 PM
98,Epic,Dynamic Content Engine (Definitions + Entries),"Dynamic content type schemas + entry CRUD with validation, slug rules, publish state, and pagination.",,SWISH-CONTENT,High,mvp,"backend,db",,26/Feb/26 09:00 AM,05/Mar/26 11:00 PM
99,Story,Create content type endpoint (/api/tenants/:id/schema),"Create content definition with JSON schema, unique slug per tenant; reject invalid schema.",98,,High,"mvp,content",backend,,26/Feb/26 09:00 AM,27/Feb/26 11:00 PM
100,Sous-tâche,Endpoint + DTO validation,Subtask for story: Create content type endpoint (/api/tenants/:id/schema),99,,High,"mvp,content,subtask",backend,4h,26/Feb/26 09:00 AM,26/Feb/26 11:00 PM
101,Sous-tâche,Uniqueness handling + 409 mapping,Subtask for story: Create content type endpoint (/api/tenants/:id/schema),99,,High,"mvp,content,subtask",backend,4h,27/Feb/26 09:00 AM,27/Feb/26 11:00 PM
102,Sous-tâche,Tests,Subtask for story: Create content type endpoint (/api/tenants/:id/schema),99,,High,"mvp,content,subtask",backend,4h,27/Feb/26 09:00 AM,27/Feb/26 11:00 PM
103,Story,Content entry create/update with schema validation,Validate entry data against definition schema on create/update; store as JSONB.,98,,High,"mvp,content","backend,db",,27/Feb/26 09:00 AM,02/Mar/26 11:00 PM
104,Sous-tâche,Schema validation service,Subtask for story: Content entry create/update with schema validation,103,,High,"mvp,content,subtask","backend,db",4h,27/Feb/26 09:00 AM,27/Feb/26 11:00 PM
